NPI,PharmAffil_id,PharmaName,Address1,City,State,PostalCode,Lat,lng,PSAOName,PharmacyChain,MegaChainName
1821084682,0000000,FAITH PHARMACY INC,1720 PHOENIX BLVD,COLLEGE PARK,GA,30349-5594,33.6145,-84.4451,NULL,NULL,NULL
1447353800,9000009,CVS,1605 FREDERICA RD,ST SIMONS ISLAND,GA,31522-2510,31.1607,-81.3883,MEGA CHAIN,CVS PHARMACY INC,CVS
1558369140,0000000,MAIL MEDS CLINICAL PHARMACY,2692 OAK RIDGE CT,FORT MYERS,FL,33901,26.6027,-81.8565,NULL,NULL,NULL
1033680046,0000000,ESSENTIA HEALTH PINE RIVER PHARMACY,417 BARCLAY AVE,PINE RIVER,MN,56474,46.7209,-94.4013,NULL,NULL,NULL
1871696633,9000009,CVS,1127 N BRIDGE ST,ELKIN,NC,28621-2407,36.2638,-80.8509,MEGA CHAIN,CVS PHARMACY INC,CVS
1639278930,9000009,CVS,42191 W 14 MILE RD,NOVI,MI,48377-1401,42.5260,-83.4664,MEGA CHAIN,CVS PHARMACY INC,CVS
1518060235,9000009,CVS,2738 PELHAM PKWY,PELHAM,AL,35124-1729,33.3133,-86.8015,MEGA CHAIN,CVS PHARMACY INC,CVS
1053414888,9000009,CVS,2091 LOST MOUNTAIN RD,POWDER SPRINGS,GA,30127-1122,33.9028,-84.6723,MEGA CHAIN,CVS PHARMACY INC,CVS
1255373445,9000009,CVS,1063 4TH ST,BELOIT,WI,53511-4413,42.5106,-89.0372,MEGA CHAIN,CVS PHARMACY INC,CVS
1477637908,9000009,CVS,2721 US HIGHWAY 1,LAWRENCEVILLE,NJ,08648-4106,40.2647,-74.7191,MEGA CHAIN,CVS PHARMACY INC,CVS
1821356130,9000057,WALMART PHARMACY,3059 LAWRENCEVILLE HWY,LAWRENCEVILLE,GA,30044-6426,33.9224,-84.0856,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1609002294,9000037,Walgreens,3116 HIGHWAY 34 E,NEWNAN,GA,30265-1342,33.4087,-84.6812,MEGA CHAIN,WALGREENS,WALGREENS
1306054275,9001057,SAMS PHARMACY,29683 FREDERICK BLVD,DAPHNE,AL,36526-9571,30.6589,-87.8553,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1629209358,9000037,Walgreens,25201 WESLEY CHAPEL BLVD,LUTZ,FL,33559-7201,28.1911,-82.3984,MEGA CHAIN,WALGREENS,WALGREENS
1679096689,9000037,Walgreens,2413 HWY 431 N,ANNISTON,AL,36206-1387,33.7166,-85.8556,MEGA CHAIN,WALGREENS,WALGREENS
1245488139,9000037,Walgreens,1041 W MAIN ST,WHITEWATER,WI,53190-1616,42.8344,-88.7486,MEGA CHAIN,WALGREENS,WALGREENS
1609926500,9009915,OCILLA PHARMACY,121 E 4TH ST,OCILLA,GA,31774-1542,31.5939,-83.2497,PPOK RX SELECT,PPOK RXSELECT PHCY NETWORK,PSAO
1215958525,9000044,WINN DIXIE,906 SOUTH MAIN ST,LABELLE,FL,33935-0000,26.7470,-81.4381,REG CHAIN,WINN DIXIE PHARMACY,REG CHAIN
1164437430,9000037,Walgreens,14100 BLOSSOM HILL RD,LOS GATOS,CA,95032-5118,37.2353,-121.9140,MEGA CHAIN,WALGREENS,WALGREENS
1639184815,9000037,Walgreens,6503 W WATERS AVE,TAMPA,FL,33634-2207,28.0262,-82.5521,MEGA CHAIN,WALGREENS,WALGREENS
1205044187,9000057,WALMART PHARMACY,505 SW PINE ISLAND RD,CAPE CORAL,FL,33991-1962,26.6491,-81.9845,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1285649335,9000037,Walgreens,5 N TRANSIT ST,LOCKPORT,NY,14094-3601,43.1689,-78.6970,MEGA CHAIN,WALGREENS,WALGREENS
1093163990,9000057,WALMART PHARMACY,622 W USTICK RD,CALDWELL,ID,83605-6248,43.6335,-116.7053,MEGA CHAIN,WALMART PHARMACY,WALMART PHARMACY
1346257359,9000037,Walgreens,11404 SAINT CHARLES ROCK RD,BRIDGETON,MO,63044-2723,38.7396,-90.4046,MEGA CHAIN,WALGREENS,WALGREENS
1477793883,9000037,Walgreens,225 STATE HIGHWAY 30 W,NEW ALBANY,MS,38652-3129,34.4983,-89.0306,MEGA CHAIN,WALGREENS,WALGREENS
1376558692,9000037,Walgreens,1616 E 87TH ST,CHICAGO,IL,60617-2727,41.7372,-87.5842,MEGA CHAIN,WALGREENS,WALGREENS
1568985174,9000037,WALGREENS,1100 HAMMOND DRIVE,ATLANTA,GA,30328-8198,33.9199,-84.3528,MEGA CHAIN,WALGREENS,WALGREENS
1174531065,9000037,Walgreens,1505 HIGHWAY 43 S,PICAYUNE,MS,39466-9297,30.5183,-89.6595,MEGA CHAIN,WALGREENS,WALGREENS
1447278817,9000037,Walgreens,1587 N COURTENAY PKWY,MERRITT IS,FL,32953-4454,28.3848,-80.7029,MEGA CHAIN,WALGREENS,WALGREENS
1902811235,9000037,Walgreens,23958 HESPERIAN BLVD,HAYWARD,CA,94541-7241,37.6539,-122.1102,MEGA CHAIN,WALGREENS,WALGREENS
1003082553,9000037,Walgreens,949 LINCOLN WAY E,CHAMBERSBURG,PA,17201-2817,39.9320,-77.6436,MEGA CHAIN,WALGREENS,WALGREENS
1215942487,9000037,Walgreens,3304 CYPRESS ST,WEST MONROE,LA,71291-7308,32.5177,-92.1580,MEGA CHAIN,WALGREENS,WALGREENS
1134326978,9000037,Walgreens,12311 N NC HIGHWAY 150,WINSTON SALEM,NC,27127-9730,35.9956,-80.2682,MEGA CHAIN,WALGREENS,WALGREENS
1649287673,9000037,Walgreens,1801 PHILO RD,URBANA,IL,61802-6015,40.0962,-88.1913,MEGA CHAIN,WALGREENS,WALGREENS
1477568665,9000037,Walgreens,8591 SE 165TH MULBERRY LN,THE VILLAGES,FL,32162-5846,28.9816,-82.0107,MEGA CHAIN,WALGREENS,WALGREENS
1669487674,9000037,Walgreens,1954 MADISON ST,CLARKSVILLE,TN,37043-8038,36.5133,-87.2951,MEGA CHAIN,WALGREENS,WALGREENS
1881609915,9000037,Walgreens,7200 W NORTH AVE,ELMWOOD PARK,IL,60707-4227,41.9091,-87.8058,MEGA CHAIN,WALGREENS,WALGREENS
